h,K,repeat,method,err,score
200,0,12,Pooled-Nuclear-Nuclear,91.80869575335316,1.059262082476544
200,0,13,naive-Nuclear,81.74100752501421,0.0011144959544331
200,0,13,A-Nuclear-Nuclear,76.18661182839165,1.041690486226102
200,0,13,Nuclear-Nuclear,77.18661182839165,1.041690486226102
200,0,13,Pooled-Nuclear-Nuclear,103.42396695303046,1.041690486226102
200,0,14,naive-Nuclear,49.0302964343768,0.0011784057280188
200,0,14,A-Nuclear-Nuclear,54.95496007092807,1.0238570230614257
200,0,14,Nuclear-Nuclear,55.95496007092807,1.0238570230614257
200,0,14,Pooled-Nuclear-Nuclear,69.45332414108873,1.0238570230614257
200,0,15,naive-Nuclear,84.56937658150079,0.0018396498884588
200,0,15,A-Nuclear-Nuclear,74.78159205469146,1.1329095346736682
200,0,15,Nuclear-Nuclear,75.78159205469146,1.1329095346736682
200,0,15,Pooled-Nuclear-Nuclear,101.17593531511017,1.1329095346736682
200,0,16,naive-Nuclear,64.08840597476193,0.0015861992219778
200,0,16,A-Nuclear-Nuclear,64.53450167346395,0.9820051207727348
200,0,16,Nuclear-Nuclear,65.53450167346395,0.9820051207727348
200,0,16,Pooled-Nuclear-Nuclear,84.78059070514615,0.9820051207727348
200,0,17,naive-Nuclear,58.101256230672334,0.0010130302838069
200,0,17,A-Nuclear-Nuclear,60.0984661498875,0.842559281653016
200,0,17,Nuclear-Nuclear,61.0984661498875,0.842559281653016
200,0,17,Pooled-Nuclear-Nuclear,77.68293386742386,0.842559281653016
200,0,18,naive-Nuclear,82.01909944659664,0.0015751296489649
200,0,18,A-Nuclear-Nuclear,76.74770612422228,1.123527296685814
200,0,18,Nuclear-Nuclear,77.74770612422228,1.123527296685814
200,0,18,Pooled-Nuclear-Nuclear,104.32171782635947,1.123527296685814
200,0,19,naive-Nuclear,82.4213771989108,0.0014382047554768
200,0,19,A-Nuclear-Nuclear,75.61682428485341,1.0739862511124083
200,0,19,Nuclear-Nuclear,76.61682428485341,1.0739862511124083
200,0,19,Pooled-Nuclear-Nuclear,102.51230688336926,1.0739862511124083
200,0,20,naive-Nuclear,46.94416219623187,0.0011051768291593
200,0,20,A-Nuclear-Nuclear,52.49517708100223,0.8005665077425479
200,0,20,Nuclear-Nuclear,53.49517708100223,0.8005665077425479
200,0,20,Pooled-Nuclear-Nuclear,65.51767135720735,0.8005665077425479
200,0,21,naive-Nuclear,55.53033757661365,0.0014298008928744
200,0,21,A-Nuclear-Nuclear,57.8050942234694,0.9880651079207872
200,0,21,Nuclear-Nuclear,58.8050942234694,0.9880651079207872
200,0,21,Pooled-Nuclear-Nuclear,74.01353878515482,0.9880651079207872
200,0,22,naive-Nuclear,95.30145968543164,0.0016228384835158
200,0,22,A-Nuclear-Nuclear,85.67880486374179,1.198938576689644
200,0,22,Nuclear-Nuclear,86.67880486374179,1.198938576689644
200,0,22,Pooled-Nuclear-Nuclear,118.61147580959069,1.198938576689644
200,0,23,naive-Nuclear,60.425715058420295,0.0013620336108058
200,0,23,A-Nuclear-Nuclear,61.848276361800735,0.9403950427788754
200,0,23,Nuclear-Nuclear,62.848276361800735,0.9403950427788754
200,0,23,Pooled-Nuclear-Nuclear,80.482630206485,0.9403950427788754
200,0,24,naive-Nuclear,65.73291091821918,0.0012788275689064
200,0,24,A-Nuclear-Nuclear,65.7934070982603,1.0524436727784103
200,0,24,Nuclear-Nuclear,66.7934070982603,1.0524436727784103
200,0,24,Pooled-Nuclear-Nuclear,86.7948393848203,1.0524436727784103
200,0,25,naive-Nuclear,77.04642209484209,0.0015721974509708
200,0,25,A-Nuclear-Nuclear,72.81790788056536,0.9553035161395188
200,0,25,Nuclear-Nuclear,73.81790788056536,0.9553035161395188
200,0,25,Pooled-Nuclear-Nuclear,98.0340406365084,0.9553035161395188
200,0,26,naive-Nuclear,67.63194194939547,0.0010727167003114
200,0,26,A-Nuclear-Nuclear,66.15955101955186,0.8298843031152621
200,0,26,Nuclear-Nuclear,67.15955101955186,0.8298843031152621
200,0,26,Pooled-Nuclear-Nuclear,87.3806696588868,0.8298843031152621
200,0,27,naive-Nuclear,84.45666383405022,0.0018284870190396
200,0,27,A-Nuclear-Nuclear,71.19345577313814,1.032547509723587
200,0,27,Nuclear-Nuclear,72.19345577313814,1.032547509723587
200,0,27,Pooled-Nuclear-Nuclear,95.43491726462486,1.032547509723587
200,0,28,naive-Nuclear,44.790372651285935,0.00137380711645
200,0,28,A-Nuclear-Nuclear,50.99533036435992,0.7739262717108472
200,0,28,Nuclear-Nuclear,51.99533036435992,0.7739262717108472
200,0,28,Pooled-Nuclear-Nuclear,63.1179166105797,0.7739262717108472
200,0,29,naive-Nuclear,82.29903739738884,0.0009646797755441
200,0,29,A-Nuclear-Nuclear,76.49453446230089,1.0493624510077202
200,0,29,Nuclear-Nuclear,77.49453446230089,1.0493624510077202
200,0,29,Pooled-Nuclear-Nuclear,103.91664316728526,1.0493624510077202
200,0,30,naive-Nuclear,53.17409862615428,0.0014916060515557
200,0,30,A-Nuclear-Nuclear,56.84532949703859,0.860166248217796
200,0,30,Nuclear-Nuclear,57.84532949703859,0.860166248217796
200,0,30,Pooled-Nuclear-Nuclear,72.47791522286553,0.860166248217796
200,0,31,naive-Nuclear,63.31936416174615,0.0009961514615987
200,0,31,A-Nuclear-Nuclear,60.425184494259085,1.0250064914434274
200,0,31,Nuclear-Nuclear,61.425184494259085,1.0250064914434274
200,0,31,Pooled-Nuclear-Nuclear,78.20568321841836,1.0250064914434274
