h,K,repeat,method,err,score
200,1,1,naive-Lasso,85.03762563022917,3.3110411584999624
200,1,2,naive-Lasso,73.70548070552212,3.350108351621204
200,1,3,naive-Lasso,69.50655700172811,3.43160419661136
200,1,4,naive-Lasso,69.31250982870205,3.4218851401838744
200,1,5,naive-Lasso,62.89983789557334,3.232298061525079
200,1,6,naive-Lasso,75.64747306134453,3.4994605140529043
200,1,7,naive-Lasso,78.52360716567617,3.475821938428975
200,1,8,naive-Lasso,74.44912675896074,3.4486449171636098
200,1,9,naive-Lasso,47.54512347521796,3.602879036774705
200,1,10,naive-Lasso,69.31805582683683,3.625890766831967
200,1,11,naive-Lasso,64.31498625851827,3.359861487981833
200,1,12,naive-Lasso,43.373134039303096,3.547132332684308
200,1,13,naive-Lasso,77.29137955289332,3.2969477896216257
200,1,14,naive-Lasso,73.3634633422792,3.3326352240901245
200,1,15,naive-Lasso,65.04054056140151,3.325062076260087
200,1,16,naive-Lasso,52.03898171676249,3.577580362132255
200,1,17,naive-Lasso,73.09540421181063,3.572745620341504
200,1,18,naive-Lasso,57.72016385289993,3.404444646612496
200,1,19,naive-Lasso,63.096873337340696,3.666794064540135
200,1,20,naive-Lasso,78.28762756491503,3.5112041985331848
200,1,21,naive-Lasso,58.65490810528273,3.4341178636740777
200,1,22,naive-Lasso,68.30265624272317,3.65384548462966
200,1,23,naive-Lasso,72.01238350456029,3.542755801398733
200,1,24,naive-Lasso,94.7811212656357,3.299170189779037
200,1,25,naive-Lasso,85.32254549324185,3.527374230227088
200,1,26,naive-Lasso,48.031563075772155,3.386011745751168
200,1,27,naive-Lasso,85.62671599142357,3.401746004482335
200,1,28,naive-Lasso,73.21994414926522,3.539464230129404
200,1,29,naive-Lasso,65.57047225583585,3.370075621378724
200,1,30,naive-Lasso,57.82141516981444,3.3725870130723816
200,1,31,naive-Lasso,72.77631439704322,3.3490520234269034
200,1,32,naive-Lasso,75.1097016940052,3.4438144738679104
200,1,33,naive-Lasso,64.7855707386006,3.4358474701885147
200,1,34,naive-Lasso,81.35937471084418,3.326889555684941
200,1,35,naive-Lasso,77.97515480620663,3.4777471424778765
200,1,36,naive-Lasso,59.67845773775045,3.5328721798975824
200,1,37,naive-Lasso,62.25510845865884,3.681141710060394
200,1,38,naive-Lasso,61.76924091384484,3.353102158310023
200,1,39,naive-Lasso,63.139143594755694,3.2223621082618927
200,1,40,naive-Lasso,63.55480935421866,3.4937748031136038
200,1,41,naive-Lasso,66.70947496277367,3.3763459657579404
200,1,42,naive-Lasso,72.03640041012824,3.486273170734474
200,1,43,naive-Lasso,57.49560700832913,3.511027772219285
200,1,44,naive-Lasso,64.7581960497065,3.544005321656209
200,1,45,naive-Lasso,59.61495383699274,3.396625359543971
200,1,46,naive-Lasso,80.58991928003226,3.441267396577656
200,1,47,naive-Lasso,75.9602095894011,3.0996178473116665
200,1,48,naive-Lasso,69.47676841585317,3.5978350776231696
200,1,49,naive-Lasso,71.64891670998051,3.343873373751065
200,1,50,naive-Lasso,84.31439417244917,3.4450236060996318
200,1,51,naive-Lasso,86.84504045780574,3.3851191121237125
200,1,52,naive-Lasso,71.76490810206374,3.235699313105983
200,1,53,naive-Lasso,69.40217942172382,3.483200788582518
200,1,54,naive-Lasso,61.106233435653365,3.326782669424196
200,1,55,naive-Lasso,59.76960713057525,3.473847747500737
200,1,56,naive-Lasso,84.01851598673508,3.541698847962929
200,1,57,naive-Lasso,60.024806640777484,3.5365727235878626
